x_local_mm,N_kN,M_kNmm,V_kN,M_kNm
0.0000000000e+00,4.9997410386e+01,-2.0286324758e+00,-3.0141281865e-03,-2.0286324758e-03
5.1020408163e+01,4.9997410386e+01,-1.8748504255e+00,-3.0141281865e-03,-1.8748504255e-03
1.0204081633e+02,4.9997410386e+01,-1.7210683752e+00,-3.0141281865e-03,-1.7210683752e-03
1.5306122449e+02,4.9997410386e+01,-1.5672863248e+00,-3.0141281865e-03,-1.5672863248e-03
2.0408163265e+02,4.9997410386e+01,-1.4135042745e+00,-3.0141281865e-03,-1.4135042745e-03
2.5510204082e+02,4.9997410386e+01,-1.2597222242e+00,-3.0141281865e-03,-1.2597222242e-03
3.0612244898e+02,4.9997410386e+01,-1.1059401738e+00,-3.0141281865e-03,-1.1059401738e-03
3.5714285714e+02,4.9997410386e+01,-9.5215812351e-01,-3.0141281865e-03,-9.5215812351e-04
4.0816326531e+02,4.9997410386e+01,-7.9837607318e-01,-3.0141281865e-03,-7.9837607318e-04
4.5918367347e+02,4.9997410386e+01,-6.4459402285e-01,-3.0141281865e-03,-6.4459402285e-04
5.1020408163e+02,4.9997410386e+01,-4.9081197252e-01,-3.0141281865e-03,-4.9081197252e-04
5.6122448980e+02,4.9997410386e+01,-3.3702992220e-01,-3.0141281865e-03,-3.3702992220e-04
6.1224489796e+02,4.9997410386e+01,-1.8324787187e-01,-3.0141281865e-03,-1.8324787187e-04
6.6326530612e+02,4.9997410386e+01,-2.9465821537e-02,-3.0141281865e-03,-2.9465821537e-05
7.1428571429e+02,4.9997410386e+01,1.2431622879e-01,-3.0141281865e-03,1.2431622879e-04
7.6530612245e+02,4.9997410386e+01,2.7809827912e-01,-3.0141281865e-03,2.7809827912e-04
8.1632653061e+02,4.9997410386e+01,4.3188032945e-01,-3.0141281865e-03,4.3188032945e-04
8.6734693878e+02,4.9997410386e+01,5.8566237978e-01,-3.0141281865e-03,5.8566237978e-04
9.1836734694e+02,4.9997410386e+01,7.3944443011e-01,-3.0141281865e-03,7.3944443011e-04
9.6938775510e+02,4.9997410386e+01,8.9322648044e-01,-3.0141281865e-03,8.9322648044e-04
1.0204081633e+03,4.9997410386e+01,1.0470085308e+00,-3.0141281865e-03,1.0470085308e-03
1.0714285714e+03,4.9997410386e+01,1.2007905811e+00,-3.0141281865e-03,1.2007905811e-03
1.1224489796e+03,4.9997410386e+01,1.3545726314e+00,-3.0141281865e-03,1.3545726314e-03
1.1734693878e+03,4.9997410386e+01,1.5083546818e+00,-3.0141281865e-03,1.5083546818e-03
1.2244897959e+03,4.9997410386e+01,1.6621367321e+00,-3.0141281865e-03,1.6621367321e-03
1.2755102041e+03,4.9997410386e+01,1.8159187824e+00,-3.0141281865e-03,1.8159187824e-03
1.3265306122e+03,4.9997410386e+01,1.9697008327e+00,-3.0141281865e-03,1.9697008327e-03
1.3775510204e+03,4.9997410386e+01,2.1234828831e+00,-3.0141281865e-03,2.1234828831e-03
1.4285714286e+03,4.9997410386e+01,2.2772649334e+00,-3.0141281865e-03,2.2772649334e-03
1.4795918367e+03,4.9997410386e+01,2.4310469837e+00,-3.0141281865e-03,2.4310469837e-03
1.5306122449e+03,4.9997410386e+01,2.5848290341e+00,-3.0141281865e-03,2.5848290341e-03
1.5816326531e+03,4.9997410386e+01,2.7386110844e+00,-3.0141281865e-03,2.7386110844e-03
1.6326530612e+03,4.9997410386e+01,2.8923931347e+00,-3.0141281865e-03,2.8923931347e-03
1.6836734694e+03,4.9997410386e+01,3.0461751851e+00,-3.0141281865e-03,3.0461751851e-03
1.7346938776e+03,4.9997410386e+01,3.1999572354e+00,-3.0141281865e-03,3.1999572354e-03
1.7857142857e+03,4.9997410386e+01,3.3537392857e+00,-3.0141281865e-03,3.3537392857e-03
1.8367346939e+03,4.9997410386e+01,3.5075213360e+00,-3.0141281865e-03,3.5075213360e-03
1.8877551020e+03,4.9997410386e+01,3.6613033864e+00,-3.0141281865e-03,3.6613033864e-03
1.9387755102e+03,4.9997410386e+01,3.8150854367e+00,-3.0141281865e-03,3.8150854367e-03
1.9897959184e+03,4.9997410386e+01,3.9688674870e+00,-3.0141281865e-03,3.9688674870e-03
2.0408163265e+03,4.9997410386e+01,4.1226495374e+00,-3.0141281865e-03,4.1226495374e-03
2.0918367347e+03,4.9997410386e+01,4.2764315877e+00,-3.0141281865e-03,4.2764315877e-03
2.1428571429e+03,4.9997410386e+01,4.4302136380e+00,-3.0141281865e-03,4.4302136380e-03
2.1938775510e+03,4.9997410386e+01,4.5839956883e+00,-3.0141281865e-03,4.5839956883e-03
2.2448979592e+03,4.9997410386e+01,4.7377777387e+00,-3.0141281865e-03,4.7377777387e-03
2.2959183673e+03,4.9997410386e+01,4.8915597890e+00,-3.0141281865e-03,4.8915597890e-03
2.3469387755e+03,4.9997410386e+01,5.0453418393e+00,-3.0141281865e-03,5.0453418393e-03
2.3979591837e+03,4.9997410386e+01,5.1991238897e+00,-3.0141281865e-03,5.1991238897e-03
2.4489795918e+03,4.9997410386e+01,5.3529059400e+00,-3.0141281865e-03,5.3529059400e-03
2.5000000000e+03,4.9997410386e+01,5.5066879903e+00,-3.0141281865e-03,5.5066879903e-03
