x_local_mm,N_kN,V_kN,M_kNmm
0.0000000000e+00,4.6642598705e+01,1.3316913224e-04,5.5477952560e-01
5.9499509131e+01,4.6642598705e+01,1.3316913224e-04,5.4685602760e-01
1.1899901826e+02,4.6642598705e+01,1.3316913224e-04,5.3893252960e-01
1.7849852739e+02,4.6642598705e+01,1.3316913224e-04,5.3100903160e-01
2.3799803652e+02,4.6642598705e+01,1.3316913224e-04,5.2308553360e-01
2.9749754566e+02,4.6642598705e+01,1.3316913224e-04,5.1516203560e-01
3.5699705479e+02,4.6642598705e+01,1.3316913224e-04,5.0723853760e-01
4.1649656392e+02,4.6642598705e+01,1.3316913224e-04,4.9931503960e-01
4.7599607305e+02,4.6642598705e+01,1.3316913224e-04,4.9139154160e-01
5.3549558218e+02,4.6642598705e+01,1.3316913224e-04,4.8346804360e-01
5.9499509131e+02,4.6642598705e+01,1.3316913224e-04,4.7554454560e-01
6.5449460044e+02,4.6642598705e+01,1.3316913224e-04,4.6762104760e-01
7.1399410957e+02,4.6642598705e+01,1.3316913224e-04,4.5969754960e-01
7.7349361870e+02,4.6642598705e+01,1.3316913224e-04,4.5177405160e-01
8.3299312784e+02,4.6642598705e+01,1.3316913224e-04,4.4385055360e-01
8.9249263697e+02,4.6642598705e+01,1.3316913224e-04,4.3592705560e-01
9.5199214610e+02,4.6642598705e+01,1.3316913224e-04,4.2800355761e-01
1.0114916552e+03,4.6642598705e+01,1.3316913224e-04,4.2008005961e-01
1.0709911644e+03,4.6642598705e+01,1.3316913224e-04,4.1215656161e-01
1.1304906735e+03,4.6642598705e+01,1.3316913224e-04,4.0423306361e-01
1.1899901826e+03,4.6642598705e+01,1.3316913224e-04,3.9630956561e-01
1.2494896918e+03,4.6642598705e+01,1.3316913224e-04,3.8838606761e-01
1.3089892009e+03,4.6642598705e+01,1.3316913224e-04,3.8046256961e-01
1.3684887100e+03,4.6642598705e+01,1.3316913224e-04,3.7253907161e-01
1.4279882191e+03,4.6642598705e+01,1.3316913224e-04,3.6461557361e-01
1.4874877283e+03,4.6642598705e+01,1.3316913224e-04,3.5669207561e-01
1.5469872374e+03,4.6642598705e+01,1.3316913224e-04,3.4876857761e-01
1.6064867465e+03,4.6642598705e+01,1.3316913224e-04,3.4084507961e-01
1.6659862557e+03,4.6642598705e+01,1.3316913224e-04,3.3292158161e-01
1.7254857648e+03,4.6642598705e+01,1.3316913224e-04,3.2499808361e-01
1.7849852739e+03,4.6642598705e+01,1.3316913224e-04,3.1707458561e-01
1.8444847831e+03,4.6642598705e+01,1.3316913224e-04,3.0915108761e-01
1.9039842922e+03,4.6642598705e+01,1.3316913224e-04,3.0122758961e-01
1.9634838013e+03,4.6642598705e+01,1.3316913224e-04,2.9330409161e-01
2.0229833105e+03,4.6642598705e+01,1.3316913224e-04,2.8538059361e-01
2.0824828196e+03,4.6642598705e+01,1.3316913224e-04,2.7745709561e-01
2.1419823287e+03,4.6642598705e+01,1.3316913224e-04,2.6953359762e-01
2.2014818378e+03,4.6642598705e+01,1.3316913224e-04,2.6161009962e-01
2.2609813470e+03,4.6642598705e+01,1.3316913224e-04,2.5368660162e-01
2.3204808561e+03,4.6642598705e+01,1.3316913224e-04,2.4576310362e-01
2.3799803652e+03,4.6642598705e+01,1.3316913224e-04,2.3783960562e-01
2.4394798744e+03,4.6642598705e+01,1.3316913224e-04,2.2991610762e-01
2.4989793835e+03,4.6642598705e+01,1.3316913224e-04,2.2199260962e-01
2.5584788926e+03,4.6642598705e+01,1.3316913224e-04,2.1406911162e-01
2.6179784018e+03,4.6642598705e+01,1.3316913224e-04,2.0614561362e-01
2.6774779109e+03,4.6642598705e+01,1.3316913224e-04,1.9822211562e-01
2.7369774200e+03,4.6642598705e+01,1.3316913224e-04,1.9029861762e-01
2.7964769292e+03,4.6642598705e+01,1.3316913224e-04,1.8237511962e-01
2.8559764383e+03,4.6642598705e+01,1.3316913224e-04,1.7445162162e-01
2.9154759474e+03,4.6642598705e+01,1.3316913224e-04,1.6652812362e-01
